IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,258,4.33
193.123.36.54,443,443,true,FRA,Europe,Frankfurt,270,4.28
129.159.47.255,443,443,true,SJC,North America,San Jose,222,4.26
155.248.196.123,443,443,true,YVR,North America,Vancouver,198,4.26
89.168.81.95,443,443,true,FRA,Europe,Frankfurt,219,4.24
130.162.189.98,443,443,true,FRA,Europe,Frankfurt,323,4.22
152.67.128.153,443,443,true,FRA,Europe,Frankfurt,266,4.19
84.8.157.153,443,443,true,FRA,Europe,Frankfurt,257,4.12
158.180.59.15,443,443,true,FRA,Europe,Frankfurt,211,4.11
158.101.211.225,443,443,true,FRA,Europe,Frankfurt,229,4.09
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,228,4.05
152.70.50.61,443,443,true,FRA,Europe,Frankfurt,344,4.03
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,285,4.01
152.70.73.77,443,443,true,ATL,North America,Atlanta,46,3.97
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,67,3.97
129.80.123.71,443,443,true,IAD,North America,Ashburn,259,3.96
158.101.192.233,443,443,true,FRA,Europe,Frankfurt,349,3.93
129.146.254.39,443,443,true,LAX,North America,Los Angeles,363,3.92
132.226.155.2,443,443,true,LAX,North America,Los Angeles,210,3.92
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,246,3.92
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,225,3.88
158.101.216.248,443,443,true,FRA,Europe,Frankfurt,372,3.87
152.70.56.208,443,443,true,FRA,Europe,Frankfurt,336,3.84
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,321,3.78
129.153.213.8,443,443,true,LAX,North America,Los Angeles,228,3.68
192.9.180.162,443,443,true,SYD,Oceania,Sydney,94,3.67
89.168.86.180,443,443,true,FRA,Europe,Frankfurt,260,3.62
140.238.1.158,443,443,true,HKG,Asia Pacific,Hong Kong,121,3.60
140.238.102.114,8443,443,true,LHR,Europe,London,278,3.55
84.235.171.152,443,443,true,FRA,Europe,Frankfurt,345,3.51
193.123.62.1,443,443,true,FRA,Europe,Frankfurt,289,3.50
158.180.28.16,443,443,true,FRA,Europe,Frankfurt,271,3.49
158.180.53.139,2087,2096,true,FRA,Europe,Frankfurt,258,3.44
89.168.122.253,443,443,true,FRA,Europe,Frankfurt,259,3.43
84.8.152.22,443,443,true,FRA,Europe,Frankfurt,333,3.40
84.235.172.166,443,443,true,FRA,Europe,Frankfurt,258,3.38
132.145.152.194,443,443,true,IAD,North America,Ashburn,256,3.29
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,325,3.28
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,257,3.16
193.123.63.217,443,443,true,FRA,Europe,Frankfurt,269,3.09
158.180.29.151,443,443,true,FRA,Europe,Frankfurt,423,3.02
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,279,2.98
84.235.170.247,443,443,true,FRA,Europe,Frankfurt,330,2.97
144.24.243.207,443,443,true,ZRH,Europe,Zurich,323,2.96
89.168.116.151,443,443,true,FRA,Europe,Frankfurt,268,2.95
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,290,2.95
84.235.171.14,443,443,true,FRA,Europe,Frankfurt,277,2.92
130.162.235.246,443,443,true,FRA,Europe,Frankfurt,261,2.89
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,259,2.88
193.123.61.142,8443,443,true,AMS,Europe,Amsterdam,249,2.85
84.235.171.157,443,443,true,FRA,Europe,Frankfurt,287,2.84
130.162.185.140,443,443,true,FRA,Europe,Frankfurt,349,2.82
150.230.120.6,443,443,true,FRA,Europe,Frankfurt,332,2.81
193.123.38.8,443,443,true,FRA,Europe,Frankfurt,337,2.79
152.67.249.123,443,443,true,SJC,North America,San Jose,175,2.76
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,104,2.75
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,265,2.74
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,258,2.72
89.168.94.205,443,443,true,FRA,Europe,Frankfurt,269,2.71
84.235.168.248,443,443,true,FRA,Europe,Frankfurt,286,2.71
193.122.15.111,443,443,true,FRA,Europe,Frankfurt,328,2.70
140.238.81.146,443,443,true,FRA,Europe,Frankfurt,282,2.66
84.8.156.168,443,443,true,FRA,Europe,Frankfurt,366,2.65
144.24.240.193,8443,443,true,MXP,Europe,Milan,316,2.65
158.180.31.148,443,443,true,FRA,Europe,Frankfurt,258,2.61
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,327,2.53
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,83,2.50
132.226.163.224,2053,443,true,GRU,South America,São Paulo,397,2.39
140.238.158.238,8080,443,true,YYZ,North America,Toronto,234,2.34
158.178.156.246,443,443,true,FRA,Europe,Frankfurt,335,2.18
152.67.143.27,443,443,true,FRA,Europe,Frankfurt,272,2.16
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,249,2.12
130.162.190.168,443,443,true,FRA,Europe,Frankfurt,211,2.09
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,225,2.09
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,261,1.99
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,249,1.89
140.238.158.238,443,443,true,YYZ,North America,Toronto,256,1.88
140.238.121.106,443,443,true,FRA,Europe,Frankfurt,271,1.79
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,368,1.55
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,327,1.47
132.226.135.47,443,443,true,FRA,Europe,Frankfurt,430,1.33
84.8.152.10,443,443,true,FRA,Europe,Frankfurt,394,1.32
193.123.61.142,2053,443,true,AMS,Europe,Amsterdam,326,1.26
89.168.112.131,443,443,true,FRA,Europe,Frankfurt,332,1.05
144.24.177.79,443,443,true,FRA,Europe,Frankfurt,394,0.92
152.70.248.96,443,443,true,ICN,Asia Pacific,Seoul,112,0.88
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,269,0.88
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,272,0.81
